SALESORDERID,HISTORY_CREATEDBY_EMPLOYEEID,HISTORY_CREATEDAT,HISTORY_CHANGEDBY_EMPLOYEEID,HISTORY_CHANGEDAT,PARTNER_PARTNERID,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS,HEADER_SALESORDERID,PRODUCT_PRODUCTID,NOTEID,CURRENCY,ITEMATPSTATUS,OPITEMPOS,QUANTITYUNIT,DELIVERYDATE,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY
500000092,22,4/2/2016,29,4/16/2015,100000025,X,I,I,500000092,HT-1107,,ARS,I,,EA,12/4/2015,71.16,59.8,11.36,2
500000093,15,4/3/2016,9,4/17/2015,100000022,X,I,I,500000093,HT-1100,,USD,I,,EA,12/4/2015,320.94,269.7,51.24,3
500000093,15,4/3/2016,9,4/17/2015,100000022,X,I,I,500000093,HT-1101,,EUR,I,,EA,12/4/2015,285.24,239.7,45.54,3
500000094,29,4/4/2016,31,4/18/2015,100000026,C,P,D,500000094,HT-1070,,ARS,I,,EA,12/4/2015,253.11,212.7,40.41,3
500000094,29,4/4/2016,31,4/18/2015,100000026,C,P,D,500000094,HT-1071,,ZAR,I,,EA,12/4/2015,97.22,81.7,15.52,1
500000095,27,4/5/2016,18,4/19/2015,100000026,X,I,I,500000095,HT-1210,,EUR,I,,EA,12/4/2015,5709.62,4798,911.62,2
500000095,27,4/5/2016,18,4/19/2015,100000026,X,I,I,500000095,HT-1500,,EUR,I,,EA,12/4/2015,11900,10000,1900,2
500000096,26,4/6/2016,29,4/20/2015,100000025,C,P,D,500000096,HT-1063,,BRL,I,,EA,12/4/2015,33.32,28,5.32,2
500000096,26,4/6/2016,29,4/20/2015,100000025,C,P,D,500000096,HT-1064,,CAD,I,,EA,12/4/2015,19.04,16,3.04,1
500000097,20,4/7/2016,27,4/21/2015,100000021,P,P,D,500000097,HT-1102,,USD,I,,EA,12/4/2015,246.33,207,39.33,3
500000097,20,4/7/2016,27,4/21/2015,100000021,P,P,D,500000097,HT-1103,,EUR,I,,EA,12/4/2015,274.89,231,43.89,3
500000098,16,4/8/2016,16,4/22/2015,100000024,C,P,D,500000098,HT-1104,,JPY,I,,EA,12/4/2015,196.35,165,31.35,3
500000098,16,4/8/2016,16,4/22/2015,100000024,C,P,D,500000098,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000099,15,4/9/2016,18,4/23/2015,100000022,X,I,I,500000099,HT-1116,,MXN,I,,EA,12/4/2015,128.52,108,20.52,3
500000099,15,4/9/2016,18,4/23/2015,100000022,X,I,I,500000099,HT-1117,,EUR,I,,EA,12/4/2015,135.66,114,21.66,3
500000100,5,4/10/2016,32,4/24/2015,100000012,X,I,I,500000100,HT-1000,,EUR,I,,EA,12/4/2015,1137.64,956,181.64,1
500000100,5,4/10/2016,32,4/24/2015,100000012,X,I,I,500000100,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000101,1,4/11/2016,21,4/25/2015,100000011,X,I,I,500000101,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000101,1,4/11/2016,21,4/25/2015,100000011,X,I,I,500000101,HT-1031,,GBP,I,,EA,12/4/2015,339.15,285,54.15,1
500000102,8,4/12/2016,14,4/26/2015,100000015,P,I,I,500000102,HT-1040,,EUR,I,,EA,12/4/2015,2963.1,2490,473.1,3
500000102,8,4/12/2016,14,4/26/2015,100000015,P,I,I,500000102,HT-1041,,ARS,I,,EA,12/4/2015,583.1,490,93.1,1
500000103,6,4/13/2016,28,4/27/2015,100000013,N,I,I,500000103,HT-1073,,EUR,I,,EA,12/4/2015,85.68,72,13.68,3
500000103,6,4/13/2016,28,4/27/2015,100000013,N,I,I,500000103,HT-1080,,INR,I,,EA,12/4/2015,182.07,153,29.07,3
500000104,11,4/14/2016,18,4/28/2015,100000013,C,P,D,500000104,HT-1100,,USD,I,,EA,12/4/2015,213.96,179.8,34.16,2
500000104,11,4/14/2016,18,4/28/2015,100000013,C,P,D,500000104,HT-1101,,EUR,I,,EA,12/4/2015,95.08,79.9,15.18,1
500000105,14,4/15/2016,8,4/29/2015,100000014,X,I,I,500000105,HT-1500,,EUR,I,,EA,12/4/2015,5950,5000,950,1
500000105,14,4/15/2016,8,4/29/2015,100000014,X,I,I,500000105,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000106,29,4/16/2016,23,4/30/2015,100000016,C,P,D,500000106,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000106,29,4/16/2016,23,4/30/2015,100000016,C,P,D,500000106,HT-1106,,MXN,I,,EA,12/4/2015,40.46,34,6.46,1
500000107,2,4/17/2016,2,5/1/2015,100000017,C,P,D,500000107,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000107,2,4/17/2016,2,5/1/2015,100000017,C,P,D,500000107,HT-1031,,GBP,I,,EA,12/4/2015,1017.45,855,162.45,3
500000108,3,4/18/2016,23,5/2/2015,100000018,P,I,D,500000108,HT-1060,,EUR,I,,EA,12/4/2015,21.42,18,3.42,2
500000108,3,4/18/2016,23,5/2/2015,100000018,P,I,D,500000108,HT-1061,,EUR,I,,EA,12/4/2015,16.66,14,2.66,2
500000109,17,4/19/2016,25,5/3/2015,100000012,P,I,I,500000109,HT-1040,,EUR,I,,EA,12/4/2015,1975.4,1660,315.4,2
500000109,17,4/19/2016,25,5/3/2015,100000012,P,I,I,500000109,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000110,23,4/20/2016,2,5/4/2015,100000011,P,I,D,500000110,HT-1070,,ARS,I,,EA,12/4/2015,168.74,141.8,26.94,2
500000110,23,4/20/2016,2,5/4/2015,100000011,P,I,D,500000110,HT-1071,,ZAR,I,,EA,12/4/2015,194.45,163.4,31.05,2
500000111,5,4/21/2016,12,5/5/2015,100000017,N,I,I,500000111,HT-1104,,JPY,I,,EA,12/4/2015,65.45,55,10.45,1
500000111,5,4/21/2016,12,5/5/2015,100000017,N,I,I,500000111,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000112,13,4/22/2016,24,5/6/2015,100000015,X,I,I,500000112,HT-1000,,EUR,I,,EA,12/4/2015,2275.28,1912,363.28,2
500000112,13,4/22/2016,24,5/6/2015,100000015,X,I,I,500000112,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000113,24,4/23/2016,31,5/7/2015,100000013,N,I,I,500000113,HT-1022,,ARS,I,,EA,12/4/2015,243.95,205,38.95,1
500000113,24,4/23/2016,31,5/7/2015,100000013,N,I,I,500000113,HT-1023,,USD,I,,EA,12/4/2015,853.23,717,136.23,3
500000114,32,4/24/2016,12,5/8/2015,100000013,X,I,I,500000114,HT-1040,,EUR,I,,EA,12/4/2015,987.7,830,157.7,1
500000114,32,4/24/2016,12,5/8/2015,100000013,X,I,I,500000114,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000115,5,4/25/2016,27,5/9/2015,100000014,P,I,I,500000115,HT-1055,,EUR,I,,EA,12/4/2015,353.43,297,56.43,3
500000115,5,4/25/2016,27,5/9/2015,100000014,P,I,I,500000115,HT-1056,,JPY,I,,EA,12/4/2015,283.22,238,45.22,2
500000116,22,4/26/2016,14,5/10/2015,100000017,N,I,I,500000116,HT-1067,,EUR,I,,EA,12/4/2015,8.33,7,1.33,2
500000116,22,4/26/2016,14,5/10/2015,100000017,N,I,I,500000116,HT-1068,,USD,I,,EA,12/4/2015,4.17,3.5,0.67,1
500000117,3,4/27/2016,27,5/11/2015,100000015,P,P,D,500000117,HT-1100,,USD,I,,EA,12/4/2015,106.98,89.9,17.08,1
500000117,3,4/27/2016,27,5/11/2015,100000015,P,P,D,500000117,HT-1107,,ARS,I,,EA,12/4/2015,71.16,59.8,11.36,2
500000118,30,4/28/2016,31,5/12/2015,100000011,P,I,D,500000118,HT-1100,,USD,I,,EA,12/4/2015,320.94,269.7,51.24,3
500000118,30,4/28/2016,31,5/12/2015,100000011,P,I,D,500000118,HT-1101,,EUR,I,,EA,12/4/2015,285.24,239.7,45.54,3
500000119,29,4/29/2016,9,5/13/2015,100000018,N,I,I,500000119,HT-1070,,ARS,I,,EA,12/4/2015,253.11,212.7,40.41,3
500000119,29,4/29/2016,9,5/13/2015,100000018,N,I,I,500000119,HT-1071,,ZAR,I,,EA,12/4/2015,97.22,81.7,15.52,1
500000120,28,4/30/2016,7,5/14/2015,100000012,X,I,I,500000120,HT-1082,,ARS,I,,EA,12/4/2015,402.22,338,64.22,2
500000120,28,4/30/2016,7,5/14/2015,100000012,X,I,I,500000120,HT-1083,,CNY,I,,EA,12/4/2015,1237.6,1040,197.6,2
500000121,22,5/1/2016,14,5/15/2015,100000011,X,I,I,500000121,HT-1113,,EUR,I,,EA,12/4/2015,5.47,4.6,0.87,2
500000121,22,5/1/2016,14,5/15/2015,100000011,X,I,I,500000121,HT-1114,,USD,I,,EA,12/4/2015,82.11,69,13.11,1
500000122,13,5/2/2016,14,5/16/2015,100000013,N,I,I,500000122,HT-1102,,USD,I,,EA,12/4/2015,246.33,207,39.33,3
500000122,13,5/2/2016,14,5/16/2015,100000013,N,I,I,500000122,HT-1103,,EUR,I,,EA,12/4/2015,274.89,231,43.89,3
500000123,27,5/3/2016,9,5/17/2015,100000014,X,I,I,500000123,HT-1104,,JPY,I,,EA,12/4/2015,196.35,165,31.35,3
500000123,27,5/3/2016,9,5/17/2015,100000014,X,I,I,500000123,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000124,11,5/4/2016,3,5/18/2015,100000015,C,P,D,500000124,HT-1116,,MXN,I,,EA,12/4/2015,128.52,108,20.52,3
500000124,11,5/4/2016,3,5/18/2015,100000015,C,P,D,500000124,HT-1117,,EUR,I,,EA,12/4/2015,135.66,114,21.66,3
500000125,13,5/5/2016,4,5/19/2015,100000016,C,P,D,500000125,HT-1000,,EUR,I,,EA,12/4/2015,1137.64,956,181.64,1
500000125,13,5/5/2016,4,5/19/2015,100000016,C,P,D,500000125,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000126,28,5/6/2016,14,5/20/2015,100000016,C,P,D,500000126,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000126,28,5/6/2016,14,5/20/2015,100000016,C,P,D,500000126,HT-1031,,GBP,I,,EA,12/4/2015,339.15,285,54.15,1
500000127,21,5/7/2016,2,5/21/2015,100000016,C,P,D,500000127,HT-1040,,EUR,I,,EA,12/4/2015,2963.1,2490,473.1,3
500000127,21,5/7/2016,2,5/21/2015,100000016,C,P,D,500000127,HT-1041,,ARS,I,,EA,12/4/2015,583.1,490,93.1,1
500000128,16,5/8/2016,15,5/22/2015,100000014,X,I,I,500000128,HT-1073,,EUR,I,,EA,12/4/2015,85.68,72,13.68,3
500000128,16,5/8/2016,15,5/22/2015,100000014,X,I,I,500000128,HT-1080,,INR,I,,EA,12/4/2015,182.07,153,29.07,3
500000129,28,5/9/2016,21,5/23/2015,100000017,C,P,D,500000129,HT-1100,,USD,I,,EA,12/4/2015,213.96,179.8,34.16,2
500000129,28,5/9/2016,21,5/23/2015,100000017,C,P,D,500000129,HT-1101,,EUR,I,,EA,12/4/2015,95.08,79.9,15.18,1
500000130,12,5/10/2016,33,5/24/2015,100000013,C,P,D,500000130,HT-1500,,EUR,I,,EA,12/4/2015,5950,5000,950,1
500000130,12,5/10/2016,33,5/24/2015,100000013,C,P,D,500000130,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000131,11,5/11/2016,2,5/25/2015,100000017,P,P,D,500000131,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000131,11,5/11/2016,2,5/25/2015,100000017,P,P,D,500000131,HT-1106,,MXN,I,,EA,12/4/2015,40.46,34,6.46,1
500000132,32,5/12/2016,2,5/26/2015,100000013,P,I,D,500000132,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000132,32,5/12/2016,2,5/26/2015,100000013,P,I,D,500000132,HT-1031,,GBP,I,,EA,12/4/2015,1017.45,855,162.45,3
500000133,5,5/13/2016,32,5/27/2015,100000018,C,P,D,500000133,HT-1060,,EUR,I,,EA,12/4/2015,21.42,18,3.42,2
500000133,5,5/13/2016,32,5/27/2015,100000018,C,P,D,500000133,HT-1061,,EUR,I,,EA,12/4/2015,16.66,14,2.66,2
500000134,2,5/14/2016,22,5/28/2015,100000012,P,P,I,500000134,HT-1500,,EUR,I,,EA,12/4/2015,11900,10000,1900,2
500000134,2,5/14/2016,22,5/28/2015,100000012,P,P,I,500000134,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000135,8,5/15/2016,5,5/29/2015,100000011,N,I,I,500000135,HT-1085,,DKK,I,,EA,12/4/2015,3567.62,2998,569.62,2
500000135,8,5/15/2016,5,5/29/2015,100000011,N,I,I,500000135,HT-1090,,EUR,I,,EA,12/4/2015,92.82,78,14.82,2
500000136,33,5/16/2016,20,5/30/2015,100000016,X,I,I,500000136,HT-1104,,JPY,I,,EA,12/4/2015,65.45,55,10.45,1
500000136,33,5/16/2016,20,5/30/2015,100000016,X,I,I,500000136,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000137,24,5/17/2016,31,5/31/2015,100000015,P,I,D,500000137,HT-1000,,EUR,I,,EA,12/4/2015,2275.28,1912,363.28,2
500000137,24,5/17/2016,31,5/31/2015,100000015,P,I,D,500000137,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000138,24,5/18/2016,4,6/1/2015,100000013,C,P,D,500000138,HT-1070,,ARS,I,,EA,12/4/2015,84.37,70.9,13.47,1
500000138,24,5/18/2016,4,6/1/2015,100000013,C,P,D,500000138,HT-1071,,ZAR,I,,EA,12/4/2015,291.67,245.1,46.57,3
500000139,15,5/19/2016,17,6/2/2015,100000013,P,P,D,500000139,HT-1040,,EUR,I,,EA,12/4/2015,987.7,830,157.7,1
500000139,15,5/19/2016,17,6/2/2015,100000013,P,P,D,500000139,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000140,18,5/20/2016,17,6/3/2015,100000014,C,P,D,500000140,HT-1113,,EUR,I,,EA,12/4/2015,8.21,6.9,1.31,3
500000140,18,5/20/2016,17,6/3/2015,100000014,C,P,D,500000140,HT-1114,,USD,I,,EA,12/4/2015,164.22,138,26.22,2
500000141,18,5/21/2016,1,6/4/2015,100000017,P,I,I,500000141,HT-1117,,EUR,I,,EA,12/4/2015,90.44,76,14.44,2
500000141,18,5/21/2016,1,6/4/2015,100000017,P,I,I,500000141,HT-1118,,ARS,I,,EA,12/4/2015,94.01,79,15.01,1
500000142,7,5/22/2016,13,6/5/2015,100000011,P,I,D,500000142,HT-1100,,USD,I,,EA,12/4/2015,106.98,89.9,17.08,1
500000142,7,5/22/2016,13,6/5/2015,100000011,P,I,D,500000142,HT-1107,,ARS,I,,EA,12/4/2015,71.16,59.8,11.36,2
500000143,10,5/23/2016,30,6/6/2015,100000015,P,P,I,500000143,HT-1100,,USD,I,,EA,12/4/2015,320.94,269.7,51.24,3
500000143,10,5/23/2016,30,6/6/2015,100000015,P,P,I,500000143,HT-1101,,EUR,I,,EA,12/4/2015,285.24,239.7,45.54,3
500000144,11,5/24/2016,21,6/7/2015,100000018,X,I,I,500000144,HT-1070,,ARS,I,,EA,12/4/2015,253.11,212.7,40.41,3
500000144,11,5/24/2016,21,6/7/2015,100000018,X,I,I,500000144,HT-1071,,ZAR,I,,EA,12/4/2015,97.22,81.7,15.52,1
500000145,2,5/25/2016,12,6/8/2015,100000012,P,I,D,500000145,HT-1210,,EUR,I,,EA,12/4/2015,5709.62,4798,911.62,2
500000145,2,5/25/2016,12,6/8/2015,100000012,P,I,D,500000145,HT-1500,,EUR,I,,EA,12/4/2015,11900,10000,1900,2
500000146,5,5/26/2016,16,6/9/2015,100000011,P,P,I,500000146,HT-1063,,BRL,I,,EA,12/4/2015,33.32,28,5.32,2
500000146,5,5/26/2016,16,6/9/2015,100000011,P,P,I,500000146,HT-1064,,CAD,I,,EA,12/4/2015,19.04,16,3.04,1
500000147,24,5/27/2016,9,6/10/2015,100000014,N,I,I,500000147,HT-1102,,USD,I,,EA,12/4/2015,246.33,207,39.33,3
500000147,24,5/27/2016,9,6/10/2015,100000014,N,I,I,500000147,HT-1103,,EUR,I,,EA,12/4/2015,274.89,231,43.89,3
500000148,16,5/28/2016,22,6/11/2015,100000013,C,P,D,500000148,HT-1104,,JPY,I,,EA,12/4/2015,196.35,165,31.35,3
500000148,16,5/28/2016,22,6/11/2015,100000013,C,P,D,500000148,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000149,19,5/29/2016,2,6/12/2015,100000015,C,P,D,500000149,HT-1116,,MXN,I,,EA,12/4/2015,128.52,108,20.52,3
500000149,19,5/29/2016,2,6/12/2015,100000015,C,P,D,500000149,HT-1117,,EUR,I,,EA,12/4/2015,135.66,114,21.66,3
500000150,4,5/30/2016,20,6/13/2015,100000028,P,P,I,500000150,HT-1000,,EUR,I,,EA,12/4/2015,1137.64,956,181.64,1
500000150,4,5/30/2016,20,6/13/2015,100000028,P,P,I,500000150,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000151,32,5/31/2016,4,6/14/2015,100000030,C,P,D,500000151,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000151,32,5/31/2016,4,6/14/2015,100000030,C,P,D,500000151,HT-1031,,GBP,I,,EA,12/4/2015,339.15,285,54.15,1
500000152,1,6/1/2016,17,6/15/2015,100000031,N,I,I,500000152,HT-1040,,EUR,I,,EA,12/4/2015,2963.1,2490,473.1,3
500000152,1,6/1/2016,17,6/15/2015,100000031,N,I,I,500000152,HT-1041,,ARS,I,,EA,12/4/2015,583.1,490,93.1,1
500000153,10,6/2/2016,5,6/16/2015,100000032,N,I,I,500000153,HT-1073,,EUR,I,,EA,12/4/2015,85.68,72,13.68,3
500000153,10,6/2/2016,5,6/16/2015,100000032,N,I,I,500000153,HT-1080,,INR,I,,EA,12/4/2015,182.07,153,29.07,3
500000154,32,6/3/2016,4,6/17/2015,100000032,C,P,D,500000154,HT-1100,,USD,I,,EA,12/4/2015,213.96,179.8,34.16,2
500000154,32,6/3/2016,4,6/17/2015,100000032,C,P,D,500000154,HT-1101,,EUR,I,,EA,12/4/2015,95.08,79.9,15.18,1
500000155,12,6/4/2016,4,6/18/2015,100000033,C,P,D,500000155,HT-1500,,EUR,I,,EA,12/4/2015,5950,5000,950,1
500000155,12,6/4/2016,4,6/18/2015,100000033,C,P,D,500000155,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000156,31,6/5/2016,26,6/19/2015,100000034,X,I,I,500000156,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000156,31,6/5/2016,26,6/19/2015,100000034,X,I,I,500000156,HT-1106,,MXN,I,,EA,12/4/2015,40.46,34,6.46,1
500000157,3,6/6/2016,11,6/20/2015,100000035,X,I,I,500000157,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000157,3,6/6/2016,11,6/20/2015,100000035,X,I,I,500000157,HT-1031,,GBP,I,,EA,12/4/2015,1017.45,855,162.45,3
500000158,14,6/7/2016,6,6/21/2015,100000027,X,I,I,500000158,HT-1060,,EUR,I,,EA,12/4/2015,21.42,18,3.42,2
500000158,14,6/7/2016,6,6/21/2015,100000027,X,I,I,500000158,HT-1061,,EUR,I,,EA,12/4/2015,16.66,14,2.66,2
500000159,7,6/8/2016,14,6/22/2015,100000028,P,I,I,500000159,HT-1040,,EUR,I,,EA,12/4/2015,1975.4,1660,315.4,2
500000159,7,6/8/2016,14,6/22/2015,100000028,P,I,I,500000159,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000160,1,6/9/2016,3,6/23/2015,100000030,X,I,I,500000160,HT-1070,,ARS,I,,EA,12/4/2015,168.74,141.8,26.94,2
500000160,1,6/9/2016,3,6/23/2015,100000030,X,I,I,500000160,HT-1071,,ZAR,I,,EA,12/4/2015,194.45,163.4,31.05,2
500000161,19,6/10/2016,12,6/24/2015,100000035,X,I,I,500000161,HT-1104,,JPY,I,,EA,12/4/2015,65.45,55,10.45,1
500000161,19,6/10/2016,12,6/24/2015,100000035,X,I,I,500000161,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000162,23,6/11/2016,10,6/25/2015,100000031,P,P,I,500000162,HT-1000,,EUR,I,,EA,12/4/2015,2275.28,1912,363.28,2
500000162,23,6/11/2016,10,6/25/2015,100000031,P,P,I,500000162,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000163,12,6/12/2016,11,6/26/2015,100000032,C,P,D,500000163,HT-1022,,ARS,I,,EA,12/4/2015,243.95,205,38.95,1
500000163,12,6/12/2016,11,6/26/2015,100000032,C,P,D,500000163,HT-1023,,USD,I,,EA,12/4/2015,853.23,717,136.23,3
500000164,9,6/13/2016,28,6/27/2015,100000032,X,I,I,500000164,HT-1040,,EUR,I,,EA,12/4/2015,987.7,830,157.7,1
500000164,9,6/13/2016,28,6/27/2015,100000032,X,I,I,500000164,HT-1041,,ARS,I,,EA,12/4/2015,1166.2,980,186.2,2
500000165,27,6/14/2016,2,6/28/2015,100000033,X,I,I,500000165,HT-1055,,EUR,I,,EA,12/4/2015,353.43,297,56.43,3
500000165,27,6/14/2016,2,6/28/2015,100000033,X,I,I,500000165,HT-1056,,JPY,I,,EA,12/4/2015,283.22,238,45.22,2
500000166,18,6/15/2016,11,6/29/2015,100000035,C,P,D,500000166,HT-1067,,EUR,I,,EA,12/4/2015,8.33,7,1.33,2
500000166,18,6/15/2016,11,6/29/2015,100000035,C,P,D,500000166,HT-1068,,USD,I,,EA,12/4/2015,4.17,3.5,0.67,1
500000167,1,6/16/2016,15,6/30/2015,100000031,X,I,I,500000167,HT-1100,,USD,I,,EA,12/4/2015,106.98,89.9,17.08,1
500000167,1,6/16/2016,15,6/30/2015,100000031,X,I,I,500000167,HT-1107,,ARS,I,,EA,12/4/2015,71.16,59.8,11.36,2
500000168,31,6/17/2016,12,7/1/2015,100000030,N,I,I,500000168,HT-1100,,USD,I,,EA,12/4/2015,320.94,269.7,51.24,3
500000168,31,6/17/2016,12,7/1/2015,100000030,N,I,I,500000168,HT-1101,,EUR,I,,EA,12/4/2015,285.24,239.7,45.54,3
500000169,31,6/18/2016,12,7/2/2015,100000027,N,I,I,500000169,HT-1070,,ARS,I,,EA,12/4/2015,253.11,212.7,40.41,3
500000169,31,6/18/2016,12,7/2/2015,100000027,N,I,I,500000169,HT-1071,,ZAR,I,,EA,12/4/2015,97.22,81.7,15.52,1
500000170,6,6/19/2016,29,7/3/2015,100000028,C,P,D,500000170,HT-1082,,ARS,I,,EA,12/4/2015,402.22,338,64.22,2
500000170,6,6/19/2016,29,7/3/2015,100000028,C,P,D,500000170,HT-1083,,CNY,I,,EA,12/4/2015,1237.6,1040,197.6,2
500000171,9,6/20/2016,5,7/4/2015,100000030,X,I,I,500000171,HT-1113,,EUR,I,,EA,12/4/2015,5.47,4.6,0.87,2
500000171,9,6/20/2016,5,7/4/2015,100000030,X,I,I,500000171,HT-1114,,USD,I,,EA,12/4/2015,82.11,69,13.11,1
500000172,33,6/21/2016,23,7/5/2015,100000032,P,P,I,500000172,HT-1102,,USD,I,,EA,12/4/2015,246.33,207,39.33,3
500000172,33,6/21/2016,23,7/5/2015,100000032,P,P,I,500000172,HT-1103,,EUR,I,,EA,12/4/2015,274.89,231,43.89,3
500000173,17,6/22/2016,15,7/6/2015,100000033,X,I,I,500000173,HT-1104,,JPY,I,,EA,12/4/2015,196.35,165,31.35,3
500000173,17,6/22/2016,15,7/6/2015,100000033,X,I,I,500000173,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000174,4,6/23/2016,15,7/7/2015,100000031,C,P,D,500000174,HT-1116,,MXN,I,,EA,12/4/2015,128.52,108,20.52,3
500000174,4,6/23/2016,15,7/7/2015,100000031,C,P,D,500000174,HT-1117,,EUR,I,,EA,12/4/2015,135.66,114,21.66,3
500000175,30,6/24/2016,5,7/8/2015,100000034,N,I,I,500000175,HT-1000,,EUR,I,,EA,12/4/2015,1137.64,956,181.64,1
500000175,30,6/24/2016,5,7/8/2015,100000034,N,I,I,500000175,HT-1001,,EUR,I,,EA,12/4/2015,2972.62,2498,474.62,2
500000176,7,6/25/2016,8,7/9/2015,100000034,C,P,D,500000176,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000176,7,6/25/2016,8,7/9/2015,100000034,C,P,D,500000176,HT-1031,,GBP,I,,EA,12/4/2015,339.15,285,54.15,1
500000177,2,6/26/2016,7,7/10/2015,100000034,C,P,D,500000177,HT-1040,,EUR,I,,EA,12/4/2015,2963.1,2490,473.1,3
500000177,2,6/26/2016,7,7/10/2015,100000034,C,P,D,500000177,HT-1041,,ARS,I,,EA,12/4/2015,583.1,490,93.1,1
500000178,15,6/27/2016,28,7/11/2015,100000033,P,I,D,500000178,HT-1073,,EUR,I,,EA,12/4/2015,85.68,72,13.68,3
500000178,15,6/27/2016,28,7/11/2015,100000033,P,I,D,500000178,HT-1080,,INR,I,,EA,12/4/2015,182.07,153,29.07,3
500000179,14,6/28/2016,27,7/12/2015,100000035,C,P,D,500000179,HT-1100,,USD,I,,EA,12/4/2015,213.96,179.8,34.16,2
500000179,14,6/28/2016,27,7/12/2015,100000035,C,P,D,500000179,HT-1101,,EUR,I,,EA,12/4/2015,95.08,79.9,15.18,1
500000180,1,6/29/2016,23,7/13/2015,100000032,X,I,I,500000180,HT-1500,,EUR,I,,EA,12/4/2015,5950,5000,950,1
500000180,1,6/29/2016,23,7/13/2015,100000032,X,I,I,500000180,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000181,18,6/30/2016,3,7/14/2015,100000035,C,P,D,500000181,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
500000181,18,6/30/2016,3,7/14/2015,100000035,C,P,D,500000181,HT-1106,,MXN,I,,EA,12/4/2015,40.46,34,6.46,1
500000182,10,7/1/2016,10,7/15/2015,100000032,X,I,I,500000182,HT-1030,,EUR,I,,EA,12/4/2015,547.4,460,87.4,2
500000182,10,7/1/2016,10,7/15/2015,100000032,X,I,I,500000182,HT-1031,,GBP,I,,EA,12/4/2015,1017.45,855,162.45,3
500000183,29,7/2/2016,8,7/16/2015,100000027,P,I,I,500000183,HT-1060,,EUR,I,,EA,12/4/2015,21.42,18,3.42,2
500000183,29,7/2/2016,8,7/16/2015,100000027,P,I,I,500000183,HT-1061,,EUR,I,,EA,12/4/2015,16.66,14,2.66,2
500000184,10,7/3/2016,13,7/17/2015,100000028,P,P,D,500000184,HT-1500,,EUR,I,,EA,12/4/2015,11900,10000,1900,2
500000184,10,7/3/2016,13,7/17/2015,100000028,P,P,D,500000184,HT-1501,,JPY,I,,EA,12/4/2015,3570,3000,570,2
500000185,2,7/4/2016,15,7/18/2015,100000030,C,P,D,500000185,HT-1085,,DKK,I,,EA,12/4/2015,3567.62,2998,569.62,2
500000185,2,7/4/2016,15,7/18/2015,100000030,C,P,D,500000185,HT-1090,,EUR,I,,EA,12/4/2015,92.82,78,14.82,2
500000186,32,7/5/2016,15,7/19/2015,100000034,N,I,I,500000186,HT-1104,,JPY,I,,EA,12/4/2015,65.45,55,10.45,1
500000186,32,7/5/2016,15,7/19/2015,100000034,N,I,I,500000186,HT-1105,,EUR,I,,EA,12/4/2015,103.53,87,16.53,3
